#ID               Station ID
#LAT              Latitude (NAD27, decimal degrees)
#LONG             Longitude (NAD27, decimal degrees)
#UTM10x_NAD83     Easting (NAD83 Zone 10N, meters)
#UTM10y_NAD83     Northing (NAD83 Zone 10N, meters)
#ELEV_m           Elevation (NGVD29, meters)
#CBA              Complete Bouger Anomaly (mGal)
#ISO              Isostatic Anomaly (mGal)
#OG               Observed Gravity (mGal)
#FTC              Field Terrain Correction (calculated out to 68m from station, mGal)
#TTC              Total Terrain Correction (calculated from 68m to 166.7km from station, mGal)

ID,LAT,LONG,UTM10x_NAD83,UTM10y_NAD83,ELEV_M,CBA,ISO,OG,FTC,TTC
19GY4009,39.05476417,-122.59199733,535209.652,4322918.881,342.120,-45.531,-9.731,979970.053,0.020,2.630
19GY4010,39.04297217,-122.57508517,536679.138,4321617.016,335.140,-48.467,-13.367,979966.528,0.200,3.540
19GY4011,39.07644000,-122.58181083,536080.003,4325328.274,375.220,-46.027,-9.737,979964.467,0.020,3.170
19GY4012,39.08409017,-122.60432983,534128.383,4326168.502,376.510,-44.187,-7.167,979966.002,0.030,3.900
19GY4013,39.09248383,-122.57851233,536357.071,4327109.998,665.810,-46.993,-10.423,979908.593,0.030,2.680
19GY4014,38.86490400,-122.65855750,529529.294,4301826.594,686.770,-41.807,-12.547,979889.971,0.040,2.260
19GY4015,38.87084600,-122.64804967,530438.401,4302489.422,697.630,-41.204,-11.714,979888.955,0.030,2.280
19GY4016,38.88198633,-122.64321000,530853.419,4303727.263,621.960,-39.710,-9.730,979906.644,0.050,1.870
19GY4017,38.89189517,-122.63805200,531296.454,4304828.583,523.500,-38.014,-7.604,979928.551,0.050,1.790
19GY4018,38.90318050,-122.63808033,531289.029,4306080.880,441.170,-36.228,-5.328,979947.481,0.020,1.740
19GY4019,38.89453167,-122.65565283,529768.898,4305115.242,486.220,-38.595,-8.015,979934.732,0.050,2.550
19GY4020,38.88906133,-122.66437067,529015.094,4304505.395,514.590,-39.433,-9.063,979927.413,0.040,3.000
19GY4021,38.85614350,-122.67196167,528369.855,4300850.206,659.090,-43.079,-14.179,979892.960,0.050,2.640
19GY4022,38.85088133,-122.68680767,527083.677,4300261.758,581.510,-44.217,-15.517,979904.320,0.150,4.850
19GY4023,38.84866817,-122.66473867,528999.637,4300022.969,470.810,-40.700,-11.980,979928.867,0.150,5.270
19GY4024,38.84063633,-122.65390417,529943.217,4299135.210,430.380,-39.544,-11.134,979936.567,0.060,5.920
19GY4025,38.83233467,-122.64576433,530653.232,4298216.712,395.030,-37.185,-9.115,979945.742,0.040,5.280
19GY4026,38.82252950,-122.62802017,532197.828,4297134.788,355.980,-34.096,-6.416,979957.587,0.060,3.290
19GY4027,38.81382767,-122.61930883,532958.086,4296172.294,328.560,-32.225,-4.925,979964.399,0.030,2.940
19GY4028,38.79721050,-122.61384067,533440.625,4294330.345,317.590,-28.434,-1.854,979969.415,0.020,2.390
19GY4029,38.78685333,-122.61048400,533737.018,4293182.291,323.630,-24.638,1.472,979971.746,0.010,1.760
19GY4030,38.77866433,-122.63784767,531363.977,4292263.829,389.870,-25.347,0.313,979955.858,0.050,3.270
19GY4031,38.80397817,-122.67226967,528363.891,4295061.518,831.810,-38.923,-12.463,979855.493,0.040,5.860
19GY4032,38.80238483,-122.65605883,529772.191,4294889.882,777.200,-35.825,-9.355,979868.418,0.250,6.580
19GY4033,38.78929133,-122.64151433,531040.856,4293441.804,703.710,-30.051,-4.101,979886.143,0.350,7.850
19GY4034,38.79710817,-122.64811567,530464.187,4294306.978,808.270,-33.622,-7.392,979859.564,0.400,11.090
19GY4035,38.77144617,-122.61604683,533261.040,4291470.585,395.840,-22.139,3.211,979958.982,0.050,1.550
19GY4036,38.75243717,-122.61348367,533492.618,4289362.187,335.520,-22.682,1.818,979968.950,0.000,1.150
19GY4037,38.82698867,-122.58134233,536247.689,4297647.134,362.850,-29.578,-1.848,979962.206,0.060,2.240
19GY4038,38.84887733,-122.61057967,533699.385,4300064.823,469.650,-34.568,-5.908,979938.984,0.020,1.530
19GY4039,38.85778733,-122.62617883,532341.667,4301047.881,460.220,-36.257,-7.187,979939.266,0.040,2.190
19GY4040,38.86807450,-122.62164583,532730.254,4302191.038,451.670,-36.265,-6.795,979942.018,0.010,2.010
19GY4041,38.88963033,-122.60282867,534352.333,4304589.965,422.060,-35.120,-4.910,979951.876,0.010,0.990
19GY4042,38.87845517,-122.60570833,534107.940,4303348.803,431.730,-35.076,-5.266,979948.952,0.000,1.080
19GY4043,38.87008133,-122.60259517,534382.028,4302420.751,523.690,-34.787,-5.357,979929.963,0.040,1.640
19GY4044,38.86079817,-122.57067650,537155.906,4301403.162,509.320,-32.158,-3.288,979934.961,0.020,1.260
19GY4045,38.75541217,-122.62551967,532445.392,4289687.960,335.520,-21.725,2.885,979970.000,0.000,1.320
19GY4046,38.74388500,-122.63162283,531920.225,4288406.697,341.310,-21.182,2.848,979968.104,0.010,1.610
19GY4047,38.74242467,-122.64753700,530537.814,4288239.208,368.450,-21.657,2.193,979961.225,0.010,2.580
19GY4048,38.73411117,-122.64911533,530404.181,4287316.177,360.580,-21.703,1.717,979961.164,0.010,3.400
19GY4049,38.73036750,-122.65813667,529621.618,4286897.797,371.370,-22.462,0.698,979957.415,0.020,3.950
19GY4050,38.73769917,-122.67122933,528480.654,4287707.184,521.750,-24.252,-0.902,979926.605,0.050,4.220
19GY4051,38.76661867,-122.65218867,530123.347,4290922.346,351.120,-24.126,0.904,979964.140,0.020,2.720
