Numero ^ Tunnus ^ Osasto ^ Vuosi ^ Reikanro ^ Kl100 ^ Yht_X ^ Yht_Y ^ Kkj_X ^ Kkj_y ^ Z ^ Syvyys ^ Kaltevuus ^ Suunta
int ^ char ^ char ^ int ^ char ^ char ^ int ^ int ^ int ^ int ^ real ^ real ^ real ^ real
95 ^ M371487R311    ^ M ^ 87 ^ 311    ^ 3714 ^ 7511400 ^ 3499051 ^ 7511400 ^ 3499050 ^ 234.00 ^ 50.00 ^ 44.40 ^ 90.00
96 ^ M371487R311    ^ M ^ 87 ^ 311    ^ 3714 ^ 7511400 ^ 3499051 ^ 7511400 ^ 3499050 ^ 234.00 ^ 60.00 ^ 43.90 ^ 90.00
97 ^ M371487R311    ^ M ^ 87 ^ 311    ^ 3714 ^ 7511400 ^ 3499051 ^ 7511400 ^ 3499050 ^ 234.00 ^ 65.30 ^ 43.90 ^ 90.00
98 ^ M371487R312    ^ M ^ 87 ^ 312    ^ 3714 ^ 7511450 ^ 3499051 ^ 7511450 ^ 3499050 ^ 233.00 ^ 0.00 ^ 46.20 ^ 90.00
99 ^ M371487R312    ^ M ^ 87 ^ 312    ^ 3714 ^ 7511450 ^ 3499051 ^ 7511450 ^ 3499050 ^ 233.00 ^ 10.00 ^ 46.50 ^ 90.00
100 ^ M371487R312    ^ M ^ 87 ^ 312    ^ 3714 ^ 7511450 ^ 3499051 ^ 7511450 ^ 3499050 ^ 233.00 ^ 20.00 ^ 46.40 ^ 90.00
101 ^ M371487R312    ^ M ^ 87 ^ 312    ^ 3714 ^ 7511450 ^ 3499051 ^ 7511450 ^ 3499050 ^ 233.00 ^ 68.80 ^ 46.40 ^ 90.00
102 ^ M371487R313    ^ M ^ 87 ^ 313    ^ 3714 ^ 7511450 ^ 3499011 ^ 7511450 ^ 3499010 ^ 234.00 ^ 0.00 ^ 46.00 ^ 90.00
103 ^ M371487R313    ^ M ^ 87 ^ 313    ^ 3714 ^ 7511450 ^ 3499011 ^ 7511450 ^ 3499010 ^ 234.00 ^ 10.00 ^ 45.70 ^ 90.00
104 ^ M371487R313    ^ M ^ 87 ^ 313    ^ 3714 ^ 7511450 ^ 3499011 ^ 7511450 ^ 3499010 ^ 234.00 ^ 138.00 ^ 45.70 ^ 90.00
